,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC_x,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,PB,PT_x,CaGC,GC_y,GC_y,Defesas,PT_y,GPC,Time
19,2023-08-27,19:00,Série A,Rodada da semana 21,dom,Em casa,V,3,0,Cruzeiro,1.5,0.6,39,52.203,Pedro Geromel,4-3-1-2,Marcelo de Lima Henrique,Relatório da Partida,,10,4,158.0,0.0,0,0,1,0.0,0,1,0,0,Gremio
20,2023-09-03,11:00,Série A,Rodada da semana 22,dom,Em casa,V,2,0,Cuiabá,0.7,1.1,43,,Luis Suárez,4-1-2-1-2◆,Yuri Elino Ferreira da Cruz,Relatório da Partida,,11,5,177.0,0.0,0,0,3,0.0,0,3,0,0,Gremio
21,2023-09-14,21:30,Série A,Rodada da semana 23,qui,Visitante,D,0,2,Bragantino,1.3,1.3,42,5.088,Luis Suárez,4-1-3-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,,10,4,205.0,0.0,0,0,4,2.0,2,3,0,0,Gremio
22,2023-09-18,21:00,Série A,Rodada da semana 15,seg,Visitante,E,4,4,Corinthians,1.1,1.8,46,35.796,Luis Suárez,4-4-2,Wilton Sampaio,Relatório da Partida,,16,7,202.0,1.0,0,0,8,4.0,4,4,1,1,Gremio
23,2023-09-21,21:30,Série A,Rodada da semana 24,qui,Em casa,V,1,0,Palmeiras,0.4,1.0,35,,Luis Suárez,4-1-3-2,Bruno Arleu,Relatório da Partida,,7,2,175.0,0.0,0,0,4,0.0,0,4,0,0,Gremio
24,2023-09-30,16:00,Série A,Rodada da semana 25,sáb,Visitante,E,1,1,Fortaleza,1.5,1.9,49,23.634,Pedro Geromel,4-3-3,Raphael Claus,Relatório da Partida,,14,3,207.0,1.0,0,1,6,1.0,1,5,1,1,Gremio
25,2023-10-08,16:00,Série A,Rodada da semana 26,dom,Visitante,D,2,3,Internacional,0.4,2.5,55,,Pedro Geromel,4-3-3,Paulo Zanovelli,Relatório da Partida,,7,2,233.0,1.0,0,0,7,3.0,3,4,0,0,Gremio
26,2023-10-18,19:00,Série A,Rodada da semana 27,qua,Em casa,D,1,2,Ath Paranaense,1.6,0.9,51,24.679,Pedro Geromel,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,,11,5,171.0,0.0,0,0,7,2.0,2,5,0,0,Gremio
27,2023-10-21,18:30,Série A,Rodada da semana 28,sáb,Visitante,D,0,3,São Paulo,0.1,3.2,43,47.132,Luis Suárez,5-3-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,,3,2,300.0,2.0,0,0,7,3.0,3,4,0,0,Gremio
28,2023-10-25,21:30,Série A,Rodada da semana 29,qua,Em casa,V,3,2,Flamengo,1.0,1.1,38,,Pedro Geromel,3-4-3,Rodrigo José Pereira de Lima,Relatório da Partida,,11,4,198.0,0.0,0,0,4,2.0,2,2,0,0,Gremio
29,2023-10-28,19:00,Série A,Rodada da semana 30,sáb,Visitante,V,4,3,América (MG),2.1,2.4,56,3.008,Luis Suárez,4-3-3,Matheus Delgado Candançan,Relatório da Partida,,16,10,182.0,0.0,1,1,6,3.0,3,3,0,0,Gremio
30,2023-11-01,20:00,Série A,Rodada da semana 31,qua,Visitante,V,2,1,Coritiba,1.4,1.5,48,24.308,Pedro Geromel,3-4-1-2,Marcelo de Lima Henrique,Relatório da Partida,,19,4,154.0,0.0,0,0,2,1.0,1,1,1,1,Gremio
31,2023-11-04,19:30,Série A,Rodada da semana 32,sáb,Em casa,V,1,0,Bahia,0.5,0.9,42,,Luis Suárez,3-4-1-2,Braulio da Silva Machado,Relatório da Partida,,7,3,158.0,0.0,0,0,5,0.0,0,5,0,0,Gremio
32,2023-11-09,20:00,Série A,Rodada da semana 33,qui,Visitante,V,4,3,Botafogo (RJ),2.0,1.4,49,17.708,Luis Suárez,4-2-3-1,Ramon Abatti,Relatório da Partida,,13,6,124.0,0.0,0,0,5,3.0,3,2,0,0,Gremio
33,2023-11-12,16:00,Série A,Rodada da semana 34,dom,Em casa,D,0,1,Corinthians,1.4,0.6,73,49.459,Luis Suárez,4-3-3,Rodrigo José Pereira de Lima,Relatório da Partida,,26,9,188.0,2.0,0,0,4,1.0,1,3,0,0,Gremio
34,2023-11-26,16:00,Série A,Rodada da semana 35,dom,Visitante,D,0,3,Atlético Mineiro,1.3,2.1,55,,Luis Suárez,3-4-3,Braulio Machado,Relatório da Partida,,21,5,174.0,2.0,0,0,6,3.0,3,3,0,0,Gremio
